,station_id,name,physical_configuration,lat,lon,altitude,address,capacity,rental_methods,groups,obcn,nearby_distance,post_code,cross_street
0,7000,Fort York  Blvd / Capreol Ct,REGULAR,43.639832,-79.395954,0.0,Fort York  Blvd / Capreol Ct,35,"['KEY', 'CREDITCARD', 'TRANSITCARD', 'PHONE']",[],647-643-9607,500.0,,
1,7001,Lower Jarvis St / The Esplanade,REGULAR,43.647992,-79.370907,0.0,Lower Jarvis St / The Esplanade,15,"['KEY', 'CREDITCARD', 'TRANSITCARD', 'PHONE']",[],416-617-9576,500.0,,
2,7002,St. George St / Bloor St W,REGULAR,43.667333,-79.399429,0.0,St. George St / Bloor St W,19,"['KEY', 'CREDITCARD', 'TRANSITCARD', 'PHONE']",[],647-643-9615,500.0,,
3,7003,Madison Ave / Bloor St W,REGULAR,43.667158,-79.402761,,Madison Ave / Bloor St W,15,"['KEY', 'CREDITCARD', 'TRANSITCARD', 'PHONE']",[],647-631-4587,500.0,,
4,7004,University Ave / Elm St,REGULAR,43.656518,-79.389099,,University Ave / Elm St,11,"['KEY', 'CREDITCARD', 'TRANSITCARD', 'PHONE']",['P7004-7047'],647-643-9673,500.0,,
5,7005,King St W / York St,REGULAR,43.6480008,-79.383177,0.0,King St W / York St,19,"['KEY', 'CREDITCARD', 'TRANSITCARD', 'PHONE']",[],647-643-9693,500.0,,
6,7006,Bay St / College St (East Side),REGULAR,43.660439,-79.385525,0.0,Bay St / College St (East Side),11,"['KEY', 'CREDITCARD', 'TRANSITCARD', 'PHONE']",['P7235-7006'],416-569-2349,500.0,,
7,7007,College St / Huron St,REGULAR,43.658148,-79.398167,0.0,College St / Huron St,19,"['KEY', 'CREDITCARD', 'TRANSITCARD', 'PHONE']",[],647-625-3582,500.0,,
8,7008,Wellesley St / Queen's Park Cres,REGULAR,43.663376,-79.392125,0.0,Wellesley St W / Queen's Park Cres,19,"['KEY', 'CREDITCARD', 'TRANSITCARD', 'PHONE']",[],647-643-9648,500.0,,
9,7009,King St E / Jarvis St,REGULAR,43.650325,-79.372287,0.0,King St E / Jarvis St,25,"['KEY', 'CREDITCARD', 'TRANSITCARD', 'PHONE']",[],647-620-8649,500.0,,
10,7010,King St W / Spadina Ave,REGULAR,43.645323,-79.395003,0.0,King St W / Spadina Ave,19,"['KEY', 'CREDITCARD', 'TRANSITCARD', 'PHONE']",[],647-202-6537,500.0,,
11,7011,Wellington St W / Portland St,REGULAR,43.642982,-79.399256,0.0,Wellington St W / Portland St,11,"['KEY', 'CREDITCARD', 'TRANSITCARD', 'PHONE']",['P7011-7123'],416-624-4001,500.0,,
12,7012,Elizabeth St / Edward St (Bus Terminal),REGULAR,43.656026,-79.385327,0.0,Elizabeth St / Edward St (Bus Terminal),15,"['KEY', 'CREDITCARD', 'TRANSITCARD', 'PHONE']",[],647-643-9665,500.0,,
13,7013,Scott St / The Esplanade,REGULAR,43.64656,-79.375274,0.0,Scott St / The Esplanade,19,"['KEY', 'CREDITCARD', 'TRANSITCARD', 'PHONE']",['P7375-7013'],416-666-6440,500.0,,
14,7014,Sherbourne St / Carlton St (Allan Gardens),REGULAR,43.663102,-79.373181,0.0,Sherbourne St / Carlton St (Allan Gardens),17,"['KEY', 'CREDITCARD', 'TRANSITCARD', 'PHONE']",[],416-710-6764,500.0,,
15,7015,King St W / Bay St (West Side),REGULAR,43.64852,-79.380576,0.0,King St W / Bay St (West Side),19,"['KEY', 'CREDITCARD', 'TRANSITCARD', 'PHONE']",[],416-671-7595,500.0,,
16,7016,Bay St / Queens Quay W (Ferry Terminal),REGULAR,43.640823,-79.376265,0.0,Bay St / Queens Quay W (Ferry Terminal),23,"['KEY', 'CREDITCARD', 'TRANSITCARD', 'PHONE']",[],647-271-1378,500.0,,
